ck_id,lat,lng,additional_notes,base_area,base_perimeter,base_shape,birthID,bolted_to_ground,condition_notes,depth,faucet_design,faucet_height_cm,faucet_length_cm,flow_rate,format,height,height_cm,high_traffic_area,material,number_of_drains,old_code,original_paint_remaining_pct,owner,parish,raised_drain,risk_factor_algae_pct,risk_factor_graffiti_pct,risk_factor_grime,risk_factor_missing_pieces,risk_factor_overall_damage_pct,risk_factor_rust_percent,risk_factor_surface_damage_percent,running,service_panel,sestiere_or_island,street,street_address,subtype,surface_area_sq_cm,totalDonated,type,visibility,width,width_cm,wiki_friendly_title
00df7ae7-f97f-1061-d452-abbdb39fd791,45.43947702,12.33360955,Spout with two holes,2724,124,hexagon,SP560F,TRUE,,8,spout,81,8,1.3,JPEG,3264,115,TRUE,metal,1,19,0,City of Venice,unknown,FALSE,20,0,medium,none,30,50,2,TRUE,TRUE,San Polo,Campo de le Beccarie,SP560,other,36915,0,fountain,High,2448,20.7,Fountain - SP560F_2014
02781729-2a4c-fb07-d2a4-9f87aff5c529,45.44538614,12.329811,Missing faucet,95,35,circle,CN2648F,FALSE,Missing faucet,8,spout,0,0,0,JPEG,3264,90,FALSE,metal,1,73,15,VESTA,unknown,FALSE,0,0,Low,many,14,80,20,FALSE,FALSE,Cannaregio,Calle Lezze,CN2648,type F,4135,800,fountain,low,2448,unknown,Fountain - CN2648F_2014
0457e69c-c039-6def-cb94-0fd689f6900f,45.438753,12.328335,There's an extended green plastic spout attached to metal spout.,616.2479397,88,Circle,SP2304F,FALSE,,8,spout,55,15,5.9,JPEG,3264,95,,metal,1,,,City of Venice,,,30,0,50,0,,20,5,,TRUE,San Polo,campo s. Agostin,SP2304,Type D_Ott. Basso,9171.24794,,,High,2448,,Fountain - SP2304F_2014
045ab1a8-4762-a8fc-97eb-b77788edd64f,45.44037468,12.32710307,,601,82,octagon,SC1459F,FALSE,,8,spout,62,18,0,JPEG,3264,88,FALSE,metal,1,25,0,City of Venice,S. Giacomo da l'Orio,FALSE,1,1,low,none,15,5,1,TRUE,TRUE,Santa Croce,Campiello del Piovan,SC1459,type D,6359,0,fountain,high,2448,26.8,Fountain - SC1459F_2014
04906781-c0af-c1ab-2e7c-16901eaaaf41,45.43583839,12.32256277,,601,82,octagon,DD3624F,FALSE,,8,spout,41,18,0,JPEG,3264,78,FALSE,metal,1,33,0,City of Venice,unknown,FALSE,0,0,low,none,40,10,5,TRUE,TRUE,Dorsoduro,Calle del Baseg_,DD3624,type D,6359,0,fountain,low,2448,27,Fountain - DD36240F_2014
04f8076a-2cea-4a96-1ccf-0f77370fc6b3,45.42954122,12.35613925,In a playground; very close to CS0F.,961,124,circle,CS00F,FALSE,in a playground; very close to CS0F.,8,lion,80,13,4.3,JPEG,3264,130,TRUE,metal,1,104,0,City of Venice,unknown,FALSE,20,5,low,none,30,0,0,TRUE,TRUE,Castello,Viale Trento,unknown,other,16120,0,fountain,medium,2448,unknown,Fountain - CS00F_2014
06208136-4ae3-6316-ac0e-dd46676961fe,45.43903063,12.32601383,,448,80,octagon,SC850F,FALSE,,8,spout,83,14,0,JPEG,3264,103,FALSE,metal,1,29,1,City of Venice,unknown,FALSE,0,0,medium,none,14,1,10,TRUE,TRUE,Santa Croce,Campiello del Cristo,SC850,type F,7740,0,fountain,medium,2448,26.8,Fountain - SC850F_2014
0736004a-5dc8-fc04-7b84-700dd5918921,45.43963684,12.33464985,Faucet taped up,2724,124,hexagon,SP166F,TRUE,faucet taped up,8,spout,81,8,2.7,JPEG,3264,115,TRUE,metal,1,106,0,VESTA,S. Silvestro,FALSE,25,0,medium,none,1,65,5,TRUE,FALSE,San Polo,Campo de la Pescaria,SP166,other,36915,0,fountain,high,2448,20.7,Fountain - SP166F_2014
0c6e811d-6be1-0433-dd98-c877ea185d76,45.43506,12.330669,,0,0,Circle,SM3884F,FALSE,,8,spout,54,24,5.3,JPEG,3264,68,,metal,0,,,City of Venice,,,0,0,0,0,,100,0,,FALSE,San Marco,corte de L'Albero,SM3884,well_Pozzo,504,,,Medium,2448,,Fountain - SM3884F_2014
0dffd3f2-41d5-c1d5-99a2-84efa2f66e46,45.434787,12.339413,Pigeon fountain.,0,0,Circle,SM314F,N/A,,8,unknown,0,0,3.3,JPEG,3264,0,,N/A,1,,,City of Venice,,,10,0,10,50,,0,0,,N/A,San Marco,piazzetta Dei leoncini,SM314,other,0,,,High,2448,,Fountain - SM314F_2014
1109fb37-0051-8deb-3d10-c3eb81c61cfa,45.4340661,12.34993766,,3234,238,square with rounded corners,CS2379F,FALSE,boarded off,8,lion,80,8,6.7,JPEG,3264,140,FALSE,metal,1,90,0,VESTA,unknown,TRUE,25,0,medium,none,14,5,15,TRUE,TRUE,Castello,Fondementa di Arsenalotti,CS2379,type B,14054,0,fountain,low,2448,59.5,Fountain - CS2379F_2014
1192b9d3-8f7f-95b1-df88-659e1b63f27f,45.484697,12.416903,,66.92465357,29,Circle,BN408F,TRUE,,8,spout,77,23,1.92,JPEG,3264,109,,metal,1,,,City of Venice,,,20,0,50,0,,0,0,,FALSE,Burano,Campo Pescheria,BN408,Tybe G_Tubo,3365.924654,,,high,1840,,Fountain - BN408F_2014
11e40b5e-9b50-9f80-b3ba-41cd8588a28a,45.43141116,12.35776383,Drain filled with dirt.,0,0,circle,CS685F,FALSE,,8,spout,86,17,0,JPEG,3264,156,FALSE,metal,1,100,0,City of Venice,unknown,FALSE,10,5,medium,some,25,30,5,FALSE,TRUE,Castello,Seco Marina,CS685,type C,unknown,0,fountain,medium,2448,unknown,Fountain - CS685F_2014
